[info]: OpenGL backend
[info]: Vendor: AMD
[debug]: profiler block move_entity: (4118810 cycles, 1 calls)
[debug]: profiler block update game: (4130701 cycles, 1 calls)
[debug]: profiler block update_sound: (111811 cycles, 1 calls)
[debug]: profiler block move_entity: (3984450 cycles, 1 calls)
[debug]: profiler block update game: (3995929 cycles, 1 calls)
[debug]: profiler block update_sound: (132261 cycles, 1 calls)
[debug]: profiler block move_entity: (4071768 cycles, 1 calls)
[debug]: profiler block update game: (4086184 cycles, 1 calls)
[debug]: profiler block update_sound: (100206 cycles, 1 calls)
[debug]: profiler block move_entity: (4023405 cycles, 1 calls)
[debug]: profiler block update game: (4034230 cycles, 1 calls)
[debug]: profiler block update_sound: (112577 cycles, 1 calls)
[debug]: profiler block move_entity: (3992470 cycles, 1 calls)
[debug]: profiler block update game: (4005978 cycles, 1 calls)
[debug]: profiler block update_sound: (110010 cycles, 1 calls)
[debug]: profiler block move_entity: (3817253 cycles, 1 calls)
[debug]: profiler block update game: (3828821 cycles, 1 calls)
[debug]: profiler block update_sound: (108872 cycles, 1 calls)
[debug]: profiler block move_entity: (4083357 cycles, 1 calls)
[debug]: profiler block update game: (4097477 cycles, 1 calls)
[debug]: profiler block update_sound: (110949 cycles, 1 calls)
[debug]: profiler block move_entity: (4099134 cycles, 1 calls)
[debug]: profiler block update game: (4116021 cycles, 1 calls)
[debug]: profiler block update_sound: (104759 cycles, 1 calls)
[debug]: profiler block move_entity: (4248147 cycles, 1 calls)
[debug]: profiler block update game: (4261211 cycles, 1 calls)
[debug]: profiler block update_sound: (107057 cycles, 1 calls)
[debug]: profiler block move_entity: (4314678 cycles, 1 calls)
[debug]: profiler block update game: (4338889 cycles, 1 calls)
[debug]: profiler block update_sound: (107881 cycles, 1 calls)
[debug]: profiler block move_entity: (4131754 cycles, 1 calls)
[debug]: profiler block update game: (4148407 cycles, 1 calls)
[debug]: profiler block update_sound: (103869 cycles, 1 calls)
[debug]: profiler block move_entity: (4034582 cycles, 1 calls)
[debug]: profiler block update game: (4048986 cycles, 1 calls)
[debug]: profiler block update_sound: (110198 cycles, 1 calls)
[debug]: profiler block move_entity: (3963198 cycles, 1 calls)
[debug]: profiler block update game: (3980028 cycles, 1 calls)
[debug]: profiler block update_sound: (105769 cycles, 1 calls)
[debug]: profiler block move_entity: (3973776 cycles, 1 calls)
[debug]: profiler block update game: (4001497 cycles, 1 calls)
[debug]: profiler block update_sound: (103596 cycles, 1 calls)
[debug]: profiler block move_entity: (4146189 cycles, 1 calls)
[debug]: profiler block update game: (4164274 cycles, 1 calls)
[debug]: profiler block update_sound: (110939 cycles, 1 calls)
[debug]: profiler block move_entity: (4037963 cycles, 1 calls)
[debug]: profiler block update game: (4049618 cycles, 1 calls)
[debug]: profiler block update_sound: (104984 cycles, 1 calls)
[debug]: profiler block move_entity: (4118156 cycles, 1 calls)
[debug]: profiler block update game: (4131528 cycles, 1 calls)
[debug]: profiler block update_sound: (67733 cycles, 1 calls)
[debug]: profiler block move_entity: (4152341 cycles, 1 calls)
[debug]: profiler block update game: (4167044 cycles, 1 calls)
[debug]: profiler block update_sound: (67155 cycles, 1 calls)
[debug]: profiler block move_entity: (3919972 cycles, 1 calls)
[debug]: profiler block update game: (3931335 cycles, 1 calls)
[debug]: profiler block update_sound: (72086 cycles, 1 calls)
[debug]: profiler block move_entity: (4149467 cycles, 1 calls)
[debug]: profiler block update game: (4163751 cycles, 1 calls)
[debug]: profiler block update_sound: (64354 cycles, 1 calls)
[debug]: profiler block move_entity: (4158499 cycles, 1 calls)
[debug]: profiler block update game: (4172021 cycles, 1 calls)
[debug]: profiler block update_sound: (65465 cycles, 1 calls)
[debug]: profiler block move_entity: (4170658 cycles, 1 calls)
[debug]: profiler block update game: (4182923 cycles, 1 calls)
[debug]: profiler block update_sound: (65937 cycles, 1 calls)
[debug]: profiler block move_entity: (4388817 cycles, 1 calls)
[debug]: profiler block update game: (4402312 cycles, 1 calls)
[debug]: profiler block update_sound: (63664 cycles, 1 calls)
[debug]: profiler block move_entity: (4202343 cycles, 1 calls)
[debug]: profiler block update game: (4214515 cycles, 1 calls)
[debug]: profiler block update_sound: (64855 cycles, 1 calls)
[debug]: profiler block move_entity: (4195483 cycles, 1 calls)
[debug]: profiler block update game: (4207675 cycles, 1 calls)
[debug]: profiler block update_sound: (71866 cycles, 1 calls)
[debug]: profiler block move_entity: (4226656 cycles, 1 calls)
[debug]: profiler block update game: (4245055 cycles, 1 calls)
[debug]: profiler block update_sound: (63248 cycles, 1 calls)
[debug]: profiler block move_entity: (4230477 cycles, 1 calls)
[debug]: profiler block update game: (4244639 cycles, 1 calls)
[debug]: profiler block update_sound: (66134 cycles, 1 calls)
[debug]: profiler block move_entity: (4180633 cycles, 1 calls)
[debug]: profiler block update game: (4196170 cycles, 1 calls)
[debug]: profiler block update_sound: (72325 cycles, 1 calls)
[debug]: profiler block move_entity: (4417429 cycles, 1 calls)
[debug]: profiler block update game: (4428769 cycles, 1 calls)
[debug]: profiler block update_sound: (114408 cycles, 1 calls)
[debug]: profiler block move_entity: (4167930 cycles, 1 calls)
[debug]: profiler block update game: (4181432 cycles, 1 calls)
[debug]: profiler block update_sound: (65039 cycles, 1 calls)
[debug]: profiler block move_entity: (4175020 cycles, 1 calls)
[debug]: profiler block update game: (4187704 cycles, 1 calls)
[debug]: profiler block update_sound: (63977 cycles, 1 calls)
[debug]: profiler block move_entity: (4129455 cycles, 1 calls)
[debug]: profiler block update game: (4141986 cycles, 1 calls)
[debug]: profiler block update_sound: (65644 cycles, 1 calls)
[debug]: profiler block move_entity: (4409276 cycles, 1 calls)
[debug]: profiler block update game: (4423399 cycles, 1 calls)
[debug]: profiler block update_sound: (66688 cycles, 1 calls)
[debug]: profiler block move_entity: (4274235 cycles, 1 calls)
[debug]: profiler block update game: (4291263 cycles, 1 calls)
[debug]: profiler block update_sound: (65639 cycles, 1 calls)
[debug]: profiler block move_entity: (4015197 cycles, 1 calls)
[debug]: profiler block update game: (4028479 cycles, 1 calls)
[debug]: profiler block update_sound: (63668 cycles, 1 calls)
[debug]: profiler block move_entity: (4101326 cycles, 1 calls)
[debug]: profiler block update game: (4116966 cycles, 1 calls)
[debug]: profiler block update_sound: (64646 cycles, 1 calls)
[debug]: profiler block move_entity: (4125580 cycles, 1 calls)
[debug]: profiler block update game: (4140814 cycles, 1 calls)
[debug]: profiler block update_sound: (74709 cycles, 1 calls)
[debug]: profiler block move_entity: (4170978 cycles, 1 calls)
[debug]: profiler block update game: (4191269 cycles, 1 calls)
[debug]: profiler block update_sound: (68801 cycles, 1 calls)
[debug]: profiler block move_entity: (4002582 cycles, 1 calls)
[debug]: profiler block update game: (4013596 cycles, 1 calls)
[debug]: profiler block update_sound: (68703 cycles, 1 calls)
[debug]: profiler block move_entity: (4032086 cycles, 1 calls)
[debug]: profiler block update game: (4051931 cycles, 1 calls)
[debug]: profiler block update_sound: (64547 cycles, 1 calls)
[debug]: profiler block move_entity: (4067843 cycles, 1 calls)
[debug]: profiler block update game: (4086711 cycles, 1 calls)
[debug]: profiler block update_sound: (64780 cycles, 1 calls)
[debug]: profiler block move_entity: (4208959 cycles, 1 calls)
[debug]: profiler block update game: (4222783 cycles, 1 calls)
[debug]: profiler block update_sound: (70345 cycles, 1 calls)
[debug]: profiler block move_entity: (4200709 cycles, 1 calls)
[debug]: profiler block update game: (4212272 cycles, 1 calls)
[debug]: profiler block update_sound: (66696 cycles, 1 calls)
[debug]: profiler block move_entity: (4132694 cycles, 1 calls)
[debug]: profiler block update game: (4145692 cycles, 1 calls)
[debug]: profiler block update_sound: (64362 cycles, 1 calls)
[debug]: profiler block move_entity: (4099150 cycles, 1 calls)
[debug]: profiler block update game: (4110366 cycles, 1 calls)
[debug]: profiler block update_sound: (63148 cycles, 1 calls)
[debug]: profiler block move_entity: (4070845 cycles, 1 calls)
[debug]: profiler block update game: (4085559 cycles, 1 calls)
[debug]: profiler block update_sound: (63686 cycles, 1 calls)
[debug]: profiler block move_entity: (4176776 cycles, 1 calls)
[debug]: profiler block update game: (4190879 cycles, 1 calls)
[debug]: profiler block update_sound: (63892 cycles, 1 calls)
[debug]: profiler block move_entity: (4196231 cycles, 1 calls)
[debug]: profiler block update game: (4210105 cycles, 1 calls)
[debug]: profiler block update_sound: (66208 cycles, 1 calls)
[debug]: profiler block move_entity: (4195265 cycles, 1 calls)
[debug]: profiler block update game: (4205023 cycles, 1 calls)
[debug]: profiler block update_sound: (71300 cycles, 1 calls)
[debug]: profiler block move_entity: (4024824 cycles, 1 calls)
[debug]: profiler block update game: (4036404 cycles, 1 calls)
[debug]: profiler block update_sound: (63234 cycles, 1 calls)
[debug]: profiler block move_entity: (4175299 cycles, 1 calls)
[debug]: profiler block update game: (4189348 cycles, 1 calls)
[debug]: profiler block update_sound: (74118 cycles, 1 calls)
[debug]: profiler block move_entity: (4071663 cycles, 1 calls)
[debug]: profiler block update game: (4081982 cycles, 1 calls)
[debug]: profiler block update_sound: (61920 cycles, 1 calls)
[debug]: profiler block move_entity: (4070658 cycles, 1 calls)
[debug]: profiler block update game: (4082684 cycles, 1 calls)
[debug]: profiler block update_sound: (64452 cycles, 1 calls)
[debug]: profiler block move_entity: (4063844 cycles, 1 calls)
[debug]: profiler block update game: (4072709 cycles, 1 calls)
